round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
1,4.578878141512536,10.0,123.3298180103302,0.0,"[{""client_id"": 8, ""average_loss"": 6.711121882928912, ""accuracy"": 3.37, ""samples"": 50000}, {""client_id"": 3, ""average_loss"": 6.517881052573319, ""accuracy"": 3.556, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 6.576197536400212, ""accuracy"": 3.506, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 6.620878190945481, ""accuracy"": 3.234, ""samples"": 50000}, {""client_id"": 4, ""average_loss"": 6.688506298357873, ""accuracy"": 2.994, ""samples"": 50000}]"
2,4.508774894058325,0.0,246.42882084846497,0.0,"[{""client_id"": 7, ""average_loss"": 10.328289414915588, ""accuracy"": 3.768, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 10.323023269853323, ""accuracy"": 3.624, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 9.151393803794061, ""accuracy"": 4.058, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 9.32793229010404, ""accuracy"": 3.694, ""samples"": 50000}, {""client_id"": 4, ""average_loss"": 10.302002045809461, ""accuracy"": 3.952, ""samples"": 50000}]"
3,4.356317146568541,1.2,374.5762734413147,0.0,"[{""client_id"": 8, ""average_loss"": 8.715288493334485, ""accuracy"": 4.416, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 9.276114476001476, ""accuracy"": 4.538, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 9.446281099563365, ""accuracy"": 4.614, ""samples"": 50000}, {""client_id"": 5, ""average_loss"": 9.665452214458105, ""accuracy"": 4.424, ""samples"": 50000}, {""client_id"": 3, ""average_loss"": 8.867717145958824, ""accuracy"": 4.498, ""samples"": 50000}]"
4,4.157495693036705,5.8,498.74765825271606,0.0,"[{""client_id"": 9, ""average_loss"": 8.942721647984536, ""accuracy"": 5.456, ""samples"": 50000}, {""client_id"": 7, ""average_loss"": 7.838396397393073, ""accuracy"": 5.518, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 7.814033726597076, ""accuracy"": 5.692, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 8.083676628749389, ""accuracy"": 5.52, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 7.672499843875466, ""accuracy"": 5.488, ""samples"": 50000}]"
5,4.046670482416821,5.1,623.9921674728394,0.0,"[{""client_id"": 5, ""average_loss"": 8.533638320005764, ""accuracy"": 6.066, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 7.914502723442624, ""accuracy"": 6.284, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 7.761583681301692, ""accuracy"": 6.218, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 7.668691179636494, ""accuracy"": 6.446, ""samples"": 50000}, {""client_id"": 3, ""average_loss"": 7.640997165609199, ""accuracy"": 6.176, ""samples"": 50000}]"
6,3.9595539463553457,5.2,754.9706935882568,0.0,"[{""client_id"": 8, ""average_loss"": 7.705683929231161, ""accuracy"": 6.76, ""samples"": 50000}, {""client_id"": 5, ""average_loss"": 8.156077597757129, ""accuracy"": 6.93, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 7.794173412920569, ""accuracy"": 6.838, ""samples"": 50000}, {""client_id"": 4, ""average_loss"": 7.132854173250515, ""accuracy"": 6.894, ""samples"": 50000}, {""client_id"": 6, ""average_loss"": 8.04536817018943, ""accuracy"": 6.808, ""samples"": 50000}]"
7,4.009029863746303,6.3,880.2368609905243,0.0,"[{""client_id"": 3, ""average_loss"": 7.182092097104358, ""accuracy"": 7.668, ""samples"": 50000}, {""client_id"": 9, ""average_loss"": 7.794857184905226, ""accuracy"": 7.458, ""samples"": 50000}, {""client_id"": 4, ""average_loss"": 7.22066257280462, ""accuracy"": 7.62, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 7.515409675095698, ""accuracy"": 7.504, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 7.114750427968057, ""accuracy"": 7.602, ""samples"": 50000}]"
8,4.016265573015638,5.7,1003.2395811080933,0.0,"[{""client_id"": 6, ""average_loss"": 7.66466656365358, ""accuracy"": 7.942, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 6.891133697746355, ""accuracy"": 7.974, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 7.050083304914977, ""accuracy"": 8.076, ""samples"": 50000}, {""client_id"": 5, ""average_loss"": 7.456080298899384, ""accuracy"": 8.06, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 7.649188456632902, ""accuracy"": 7.774, ""samples"": 50000}]"
9,3.940481662750244,4.9,1131.1256084442139,0.0,"[{""client_id"": 5, ""average_loss"": 7.275959641732219, ""accuracy"": 8.66, ""samples"": 50000}, {""client_id"": 8, ""average_loss"": 7.586432451177436, ""accuracy"": 8.436, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 6.900043936946508, ""accuracy"": 8.706, ""samples"": 50000}, {""client_id"": 1, ""average_loss"": 6.953778928807934, ""accuracy"": 8.608, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 6.865116572745926, ""accuracy"": 8.738, ""samples"": 50000}]"
10,3.9435690770483323,3.8,1255.6863539218903,0.0,"[{""client_id"": 3, ""average_loss"": 6.501794867808251, ""accuracy"": 9.09, ""samples"": 50000}, {""client_id"": 5, ""average_loss"": 7.669192964768471, ""accuracy"": 8.708, ""samples"": 50000}, {""client_id"": 0, ""average_loss"": 6.772174907767254, ""accuracy"": 8.98, ""samples"": 50000}, {""client_id"": 2, ""average_loss"": 6.810235330820693, ""accuracy"": 9.006, ""samples"": 50000}, {""client_id"": 6, ""average_loss"": 6.9954213205810705, ""accuracy"": 9.016, ""samples"": 50000}]"
