round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
1,2.3889362250164057,10.0,8.421178340911865,8.234720461215682,"[{""client_id"": 8, ""average_loss"": 1.6705457721437726, ""accuracy"": 43.105786618444846, ""samples"": 4424}, {""client_id"": 7, ""average_loss"": 2.048733768639741, ""accuracy"": 29.15571136430032, ""samples"": 3423}, {""client_id"": 0, ""average_loss"": 2.114606377555103, ""accuracy"": 38.08789514263685, ""samples"": 5188}, {""client_id"": 1, ""average_loss"": 1.874090620449611, ""accuracy"": 54.5048399106478, ""samples"": 2686}, {""client_id"": 6, ""average_loss"": 2.150269497995791, ""accuracy"": 43.35042735042735, ""samples"": 2925}]"
2,2.333971058487133,10.0,18.469521284103394,8.538967115143253,"[{""client_id"": 6, ""average_loss"": 1.88933012019033, ""accuracy"": 43.21367521367522, ""samples"": 2925}, {""client_id"": 9, ""average_loss"": 2.207370368639628, ""accuracy"": 28.270042194092827, ""samples"": 4740}, {""client_id"": 7, ""average_loss"": 1.8536199861102634, ""accuracy"": 33.333333333333336, ""samples"": 3423}, {""client_id"": 3, ""average_loss"": 1.6057488117061678, ""accuracy"": 53.04258330117072, ""samples"": 7773}, {""client_id"": 0, ""average_loss"": 2.032350333725534, ""accuracy"": 37.451811873554355, ""samples"": 5188}]"
3,2.3548431502785654,10.0,27.952454090118408,6.110248609283771,"[{""client_id"": 0, ""average_loss"": 2.134625709638363, ""accuracy"": 39.244410177332306, ""samples"": 5188}, {""client_id"": 7, ""average_loss"": 2.3079250079614146, ""accuracy"": 29.593923458954134, ""samples"": 3423}, {""client_id"": 2, ""average_loss"": 2.0316429580609823, ""accuracy"": 35.47761435267496, ""samples"": 6187}, {""client_id"": 9, ""average_loss"": 2.2365257930755615, ""accuracy"": 27.848101265822784, ""samples"": 4740}, {""client_id"": 6, ""average_loss"": 1.9305170463479084, ""accuracy"": 44.41025641025641, ""samples"": 2925}]"
1,2.328297045580141,10.0,11.397222518920898,7.595591559593559,"[{""client_id"": 7, ""average_loss"": 1.6827353481893186, ""accuracy"": 48.76065065840434, ""samples"": 5164}, {""client_id"": 2, ""average_loss"": 2.076637129629812, ""accuracy"": 31.90091001011122, ""samples"": 3956}, {""client_id"": 0, ""average_loss"": 1.8209358708242351, ""accuracy"": 44.92318559067632, ""samples"": 5663}, {""client_id"": 5, ""average_loss"": 1.9420258169588835, ""accuracy"": 41.662870159453306, ""samples"": 4390}, {""client_id"": 8, ""average_loss"": 2.0843251585064078, ""accuracy"": 28.95451860602481, ""samples"": 8465}]"
1,2.312829331987223,10.0,10.425414085388184,4.345303335754704,"[{""client_id"": 3, ""average_loss"": 1.8721519940429263, ""accuracy"": 53.18021201413428, ""samples"": 2264}, {""client_id"": 1, ""average_loss"": 2.2277988161359517, ""accuracy"": 45.12471655328798, ""samples"": 2205}, {""client_id"": 4, ""average_loss"": 1.9321002154438585, ""accuracy"": 44.355890450659324, ""samples"": 6901}, {""client_id"": 9, ""average_loss"": 1.9058829730318994, ""accuracy"": 42.94003868471954, ""samples"": 6204}, {""client_id"": 0, ""average_loss"": 1.8461739695261394, ""accuracy"": 40.209397980805186, ""samples"": 8023}]"
2,2.3292674031227256,10.0,22.780555963516235,1.439947760695179,"[{""client_id"": 9, ""average_loss"": 1.7888042668706363, ""accuracy"": 43.488072211476464, ""samples"": 6204}, {""client_id"": 6, ""average_loss"": 1.6118451939387755, ""accuracy"": 44.545292756718275, ""samples"": 5619}, {""client_id"": 2, ""average_loss"": 1.661981735229492, ""accuracy"": 44.89956057752668, ""samples"": 6372}, {""client_id"": 4, ""average_loss"": 1.6774109039041731, ""accuracy"": 46.413563251702655, ""samples"": 6901}, {""client_id"": 8, ""average_loss"": 1.7195989804447822, ""accuracy"": 47.56908526673563, ""samples"": 6767}]"
3,2.2877839203852757,12.93,32.813244581222534,4.956351243359337,"[{""client_id"": 4, ""average_loss"": 1.5413011577394273, ""accuracy"": 49.195768729169686, ""samples"": 6901}, {""client_id"": 5, ""average_loss"": 1.9354506072245146, ""accuracy"": 55.54600171969046, ""samples"": 1163}, {""client_id"": 0, ""average_loss"": 1.7844647462405856, ""accuracy"": 40.23432631185342, ""samples"": 8023}, {""client_id"": 1, ""average_loss"": 1.8724263054983956, ""accuracy"": 46.12244897959184, ""samples"": 2205}, {""client_id"": 2, ""average_loss"": 1.5745289361476897, ""accuracy"": 48.79158819836786, ""samples"": 6372}]"
4,2.1711409501968677,20.46,43.33400297164917,2.1261480729577857,"[{""client_id"": 1, ""average_loss"": 1.7241953236716134, ""accuracy"": 48.02721088435374, ""samples"": 2205}, {""client_id"": 4, ""average_loss"": 1.458215273088879, ""accuracy"": 50.326039704390666, ""samples"": 6901}, {""client_id"": 9, ""average_loss"": 1.5393708612501007, ""accuracy"": 47.54996776273372, ""samples"": 6204}, {""client_id"": 7, ""average_loss"": 1.8005540915897915, ""accuracy"": 43.73744139316812, ""samples"": 4479}, {""client_id"": 8, ""average_loss"": 1.6608226321778208, ""accuracy"": 47.92374759864046, ""samples"": 6767}]"
5,2.0765310897948637,22.32,54.180758476257324,2.0101786691516117,"[{""client_id"": 1, ""average_loss"": 1.7008939640862601, ""accuracy"": 46.21315192743764, ""samples"": 2205}, {""client_id"": 9, ""average_loss"": 1.5853048182025398, ""accuracy"": 47.72727272727273, ""samples"": 6204}, {""client_id"": 4, ""average_loss"": 1.4057962121786896, ""accuracy"": 50.96362845964353, ""samples"": 6901}, {""client_id"": 0, ""average_loss"": 1.426380057183523, ""accuracy"": 51.526860276704475, ""samples"": 8023}, {""client_id"": 7, ""average_loss"": 1.6922386356762478, ""accuracy"": 48.22505023442733, ""samples"": 4479}]"
6,2.0277040559015456,21.79,65.39903545379639,2.179846121898811,"[{""client_id"": 6, ""average_loss"": 1.3941745879975231, ""accuracy"": 50.98772023491725, ""samples"": 5619}, {""client_id"": 9, ""average_loss"": 1.4517758703723396, ""accuracy"": 50.90264345583495, ""samples"": 6204}, {""client_id"": 4, ""average_loss"": 1.3302817775143518, ""accuracy"": 53.76032459063904, ""samples"": 6901}, {""client_id"": 0, ""average_loss"": 1.3376496732234955, ""accuracy"": 54.19419169886576, ""samples"": 8023}, {""client_id"": 3, ""average_loss"": 1.4322757985856798, ""accuracy"": 56.71378091872791, ""samples"": 2264}]"
